Trinidad Bay and Trinidad Beach Surface Temperature Data														
"Trinidad Bay, CA   41Deg 3.3'N   124Deg  8.8' W"														
"Trinidad Beach, CA   41Deg  3.6'N   124Deg  8.9' W"														
Data are collected by staff at Humboldt State University Marine Laboratory. 														
"Current funding provided by California Parks and Recreation, Division of Boating and Waterways, Award # C1670003"														
******************* NOTE ********************														
This data has been checked for key entry errors only.														
It has not been analyzed for overall quality.														
Data uncertainties are flagged with the following codes:														
"0 = good data,"														
"1 = illegible entry,"														
"2 = data differs from other sources, ie. temperature vs. salinity records,"														
"3 = data uncertain,"														
"4 = leaky bottle,"														
5 = SIO Pier Chlorophyll Program Data.														
6 = sample collected from Trinidad Bay.														
Time flags indicate date or time uncertainties.														
Data flags indicate uncertainties with data.														
Time of sample collection available for 1990-current data only.														
Time records in Pacific Standard time zone (PST).														
Time records between 1990-2004 may vary by up to 1 hour with actual sample														
time since time zone was not recorded during these years.														
"**Temperature data for Mar 1, 2015 - July 27, 2016 may be off by +0.1-0.7�C due to"														
 thermometer issues.  These uncertain data are flagged with 3's in data flag column.***														
==================================================================================														
***PLEASE CITE & REFERENCE THIS PROGRAM AS FOLLOWS***														
Shore Stations Program with current funding provided by the														
"California Parks and Recreation, Division of Boating and Waterways, Award # C1670003"														
1984	5	23	NaN	NaN	10.2	NaN	10.4	NaN						
1984	5	24	NaN	NaN	9.7	NaN	13.0	NaN						
1984	5	25	NaN	NaN	9.8	NaN	9.8	NaN						
1984	5	26	NaN	NaN	11.0	NaN	12.8	NaN						
1984	5	27	NaN	NaN	11.3	NaN	12.8	NaN						
1984	5	28	NaN	NaN	10.4	NaN	10.2	NaN						
1984	5	29	NaN	NaN	11.4	NaN	12.0	NaN						
1984	5	30	NaN	NaN	9.7	NaN	10.0	NaN						
1984	5	31	NaN	NaN	8.9	NaN	10.5	NaN						
1984	6	1	NaN	NaN	9.7	NaN	10.1	NaN						
1984	6	2	NaN	NaN	9.3	NaN	10.0	NaN						
1984	6	3	NaN	NaN	9.0	NaN	10.6	NaN						
1984	6	4	NaN	NaN	NaN	NaN	NaN	NaN						
1984	6	5	NaN	NaN	10.1	NaN	10.2	NaN						
1984	6	6	NaN	NaN	NaN	NaN	NaN	NaN						
1984	6	7	NaN	NaN	11.2	NaN	12.5	NaN						
1984	6	8	NaN	NaN	NaN	NaN	NaN	NaN						
1984	6	9	NaN	NaN	NaN	NaN	NaN	NaN						
1984	6	10	NaN	NaN	NaN	NaN	NaN	NaN						
1984	6	11	NaN	NaN	9.8	NaN	9.5	NaN						
1984	6	12	NaN	NaN	10.5	NaN	10.5	NaN						
1984	6	13	NaN	NaN	9.8	NaN	9.8	NaN						
1984	6	14	NaN	NaN	9.8	NaN	9.8	NaN						
1984	6	15	NaN	NaN	9.8	NaN	9.8	NaN						
1984	6	16	NaN	NaN	NaN	NaN	NaN	NaN						
1984	6	17	NaN	NaN	NaN	NaN	NaN	NaN						
1984	6	18	NaN	NaN	9.8	NaN	10.8	NaN						
1984	6	19	NaN	NaN	9.8	NaN	9.8	NaN						
1984	6	20	NaN	NaN	9.0	NaN	10.2	NaN						
1984	6	21	NaN	NaN	9.8	NaN	11.5	NaN						
1984	6	22	NaN	NaN	8.9	NaN	9.2	NaN						
1984	6	23	NaN	NaN	NaN	NaN	NaN	NaN						
1984	6	24	NaN	NaN	NaN	NaN	NaN	NaN						
1984	6	25	NaN	NaN	10.4	NaN	10.8	NaN						
1984	6	26	NaN	NaN	12.2	NaN	10.8	NaN						
1984	6	27	NaN	NaN	12.2	NaN	10.8	NaN						
1984	6	28	NaN	NaN	9.8	NaN	10.2	NaN						
1984	6	29	NaN	NaN	9.8	NaN	11.4	NaN						
1984	6	30	NaN	NaN	NaN	NaN	NaN	NaN						
1984	7	1	NaN	NaN	10.0	NaN	NaN	NaN						
1984	7	2	NaN	NaN	NaN	NaN	11.0	NaN						
1984	7	3	NaN	NaN	NaN	NaN	NaN	NaN						
1984	7	4	NaN	NaN	12.0	NaN	NaN	NaN						
1984	7	5	NaN	NaN	11.0	NaN	11.0	NaN						
1984	7	6	NaN	NaN	NaN	NaN	11.0	NaN						
1984	7	7	NaN	NaN	NaN	NaN	NaN	NaN						
1984	7	8	NaN	NaN	NaN	NaN	NaN	NaN						
1984	7	9	NaN	NaN	11.0	NaN	12.0	NaN						
1984	7	10	NaN	NaN	11.0	NaN	11.0	NaN						
1984	7	11	NaN	NaN	11.0	NaN	12.0	NaN						
1984	7	12	NaN	NaN	10.0	NaN	10.0	NaN						
1984	7	13	NaN	NaN	10.0	NaN	11.0	NaN						
1984	7	14	NaN	NaN	13.0	NaN	NaN	NaN						
1984	7	15	NaN	NaN	NaN	NaN	NaN	NaN						
1984	7	16	NaN	NaN	13.0	NaN	13.0	NaN						
1984	7	17	NaN	NaN	11.0	NaN	12.0	NaN						
1984	7	18	NaN	NaN	12.0	NaN	11.0	NaN						
1984	7	19	NaN	NaN	12.0	NaN	12.0	NaN						
1984	7	20	NaN	NaN	11.0	NaN	12.0	NaN						
1984	7	21	NaN	NaN	NaN	NaN	NaN	NaN						
1984	7	22	NaN	NaN	NaN	NaN	NaN	NaN						
1984	7	23	NaN	NaN	12.0	NaN	13.0	NaN						
1984	7	24	NaN	NaN	NaN	NaN	NaN	NaN						
1984	7	25	NaN	NaN	14.0	NaN	15.0	NaN						
1984	7	26	NaN	NaN	13.0	NaN	15.0	NaN						
1984	7	27	NaN	NaN	12.0	NaN	13.0	NaN						
1984	7	28	NaN	NaN	NaN	NaN	NaN	NaN						
1984	7	29	NaN	NaN	NaN	NaN	NaN	NaN						
1984	7	30	NaN	NaN	13.0	NaN	12.0	NaN						
1984	7	31	NaN	NaN	NaN	NaN	NaN	NaN						
1984	8	1	NaN	NaN	14.0	NaN	13.0	NaN						
1984	8	2	NaN	NaN	13.0	NaN	13.0	NaN						
1984	8	3	NaN	NaN	12.0	NaN	14.0	NaN						
1984	8	4	NaN	NaN	NaN	NaN	NaN	NaN						
1984	8	5	NaN	NaN	NaN	NaN	NaN	NaN						
1984	8	6	NaN	NaN	NaN	NaN	NaN	NaN						
1984	8	7	NaN	NaN	NaN	NaN	NaN	NaN						
1984	8	8	NaN	NaN	14.0	NaN	13.0	NaN						
1984	8	9	NaN	NaN	14.0	NaN	14.0	NaN						
1984	8	10	NaN	NaN	14.0	NaN	14.0	NaN						
1984	8	11	NaN	NaN	NaN	NaN	NaN	NaN						
1984	8	12	NaN	NaN	NaN	NaN	NaN	NaN						
1984	8	13	NaN	NaN	13.0	NaN	14.0	NaN						
1984	8	14	NaN	NaN	13.0	NaN	14.0	NaN						
1984	8	15	NaN	NaN	13.0	NaN	14.0	NaN						
1984	8	16	NaN	NaN	14.0	NaN	15.0	NaN						
1984	8	17	NaN	NaN	NaN	NaN	NaN	NaN						
1984	8	18	NaN	NaN	NaN	NaN	NaN	NaN						
1984	8	19	NaN	NaN	NaN	NaN	NaN	NaN						
1984	8	20	NaN	NaN	NaN	NaN	NaN	NaN						
1984	8	21	NaN	NaN	NaN	NaN	NaN	NaN						
1984	8	22	NaN	NaN	15.0	NaN	15.0	NaN						
1984	8	23	NaN	NaN	NaN	NaN	NaN	NaN						
1984	8	24	NaN	NaN	14.0	NaN	15.0	NaN						
1984	8	25	NaN	NaN	NaN	NaN	NaN	NaN						
1984	8	26	NaN	NaN	NaN	NaN	NaN	NaN						
1984	8	27	NaN	NaN	13.0	NaN	14.0	NaN						
1984	8	28	NaN	NaN	14.0	NaN	14.0	NaN						
1984	8	29	NaN	NaN	14.0	NaN	13.0	NaN						
1984	8	30	NaN	NaN	NaN	NaN	NaN	NaN						
1984	8	31	NaN	NaN	NaN	NaN	NaN	NaN						
1984	9	1	NaN	NaN	NaN	NaN	NaN	NaN						
1984	9	2	NaN	NaN	NaN	NaN	NaN	NaN						
1984	9	3	NaN	NaN	NaN	NaN	NaN	NaN						
1984	9	4	NaN	NaN	13.0	NaN	14.0	NaN						
1984	9	5	NaN	NaN	15.0	NaN	14.0	NaN						
1984	9	6	NaN	NaN	12.0	NaN	14.0	NaN						
1984	9	7	NaN	NaN	NaN	NaN	NaN	NaN						
1984	9	8	NaN	NaN	NaN	NaN	NaN	NaN						
1984	9	9	NaN	NaN	NaN	NaN	NaN	NaN						
1984	9	10	NaN	NaN	NaN	NaN	NaN	NaN						
1984	9	11	NaN	NaN	11.0	NaN	12.0	NaN						
1984	9	12	NaN	NaN	12.0	NaN	12.0	NaN						
1984	9	13	NaN	NaN	12.0	NaN	13.0	NaN						
1984	9	14	NaN	NaN	NaN	NaN	NaN	NaN						
1984	9	15	NaN	NaN	NaN	NaN	NaN	NaN						
1984	9	16	NaN	NaN	NaN	NaN	NaN	NaN						
1984	9	17	NaN	NaN	12.0	NaN	12.0	NaN						
1984	9	18	NaN	NaN	NaN	NaN	NaN	NaN						
1984	9	19	NaN	NaN	NaN	NaN	NaN	NaN						
1984	9	20	NaN	NaN	NaN	NaN	NaN	NaN						
1984	9	21	NaN	NaN	NaN	NaN	NaN	NaN						
1984	9	22	NaN	NaN	NaN	NaN	NaN	NaN						
1984	9	23	NaN	NaN	NaN	NaN	NaN	NaN						
1984	9	24	NaN	NaN	10.3	NaN	11.9	NaN						
1984	9	25	NaN	NaN	12.0	NaN	14.0	NaN						
1984	9	26	NaN	NaN	10.9	NaN	11.5	NaN						
1984	9	27	NaN	NaN	11.0	NaN	11.5	NaN						
1984	9	28	NaN	NaN	11.0	NaN	11.0	NaN						
1984	9	29	NaN	NaN	NaN	NaN	NaN	NaN						
1984	9	30	NaN	NaN	NaN	NaN	NaN	NaN						
1984	10	1	NaN	NaN	12.5	NaN	12.5	NaN						
1984	10	2	NaN	NaN	13.4	NaN	13.1	NaN						
1984	10	3	NaN	NaN	13.5	NaN	12.7	NaN						
1984	10	4	NaN	NaN	13.0	NaN	12.7	NaN						
1984	10	5	NaN	NaN	13.0	NaN	12.7	NaN						
1984	10	6	NaN	NaN	13.9	NaN	13.7	NaN						
1984	10	7	NaN	NaN	14.8	NaN	14.3	NaN						
1984	10	8	NaN	NaN	14.3	NaN	15.0	NaN						
1984	10	9	NaN	NaN	15.0	NaN	14.7	NaN						
1984	10	10	NaN	NaN	15.0	NaN	14.0	NaN						
1984	10	11	NaN	NaN	15.0	NaN	14.5	NaN						
1984	10	12	NaN	NaN	14.8	NaN	14.8	NaN						
1984	10	13	NaN	NaN	15.0	NaN	14.8	NaN						
1984	10	14	NaN	NaN	14.2	NaN	14.3	NaN						
1984	10	15	NaN	NaN	13.0	NaN	13.0	NaN						
1984	10	16	NaN	NaN	11.7	NaN	12.0	NaN						
1984	10	17	NaN	NaN	13.2	NaN	12.4	NaN						
1984	10	18	NaN	NaN	NaN	NaN	NaN	NaN						
1984	10	19	NaN	NaN	11.9	NaN	12.6	NaN						
1984	10	20	NaN	NaN	13.8	NaN	12.8	NaN						
1984	10	21	NaN	NaN	12.6	NaN	12.7	NaN						
1984	10	22	NaN	NaN	12.0	NaN	12.5	NaN						
1984	10	23	NaN	NaN	12.7	NaN	13.0	NaN						
1984	10	24	NaN	NaN	12.8	NaN	13.4	NaN						
1984	10	25	NaN	NaN	13.0	NaN	12.5	NaN						
1984	10	26	NaN	NaN	11.8	NaN	12.0	NaN						
1984	10	27	NaN	NaN	11.3	NaN	11.2	NaN						
1984	10	28	NaN	NaN	11.2	NaN	11.3	NaN						
1984	10	29	NaN	NaN	11.0	NaN	11.5	NaN						
1984	10	30	NaN	NaN	11.0	NaN	11.2	NaN						
1984	10	31	NaN	NaN	11.3	NaN	11.5	NaN						
1984	11	1	NaN	NaN	10.7	NaN	10.7	NaN						
1984	11	2	NaN	NaN	11.5	NaN	11.6	NaN						
1984	11	3	NaN	NaN	12.2	NaN	13.8	NaN						
1984	11	4	NaN	NaN	12.5	NaN	12.7	NaN						
1984	11	5	NaN	NaN	13.0	NaN	12.8	NaN						
1984	11	6	NaN	NaN	12.2	NaN	12.5	NaN						
1984	11	7	NaN	NaN	12.5	NaN	12.5	NaN						
1984	11	8	NaN	NaN	12.0	NaN	12.0	NaN						
1984	11	9	NaN	NaN	11.1	NaN	11.8	NaN						
1984	11	10	NaN	NaN	12.3	NaN	12.0	NaN						
1984	11	11	NaN	NaN	12.0	NaN	12.3	NaN						
1984	11	12	NaN	NaN	12.0	NaN	12.5	NaN						
1984	11	13	NaN	NaN	12.2	NaN	12.7	NaN						
1984	11	14	NaN	NaN	11.9	NaN	12.2	NaN						
1984	11	15	NaN	NaN	11.7	NaN	12.2	NaN						
1984	11	16	NaN	NaN	12.8	NaN	12.8	NaN						
1984	11	17	NaN	NaN	12.0	NaN	12.7	NaN						
1984	11	18	NaN	NaN	12.4	NaN	12.7	NaN						
1984	11	19	NaN	NaN	12.5	NaN	12.7	NaN						
1984	11	20	NaN	NaN	12.0	NaN	12.7	NaN						
1984	11	21	NaN	NaN	12.5	NaN	12.3	NaN						
1984	11	22	NaN	NaN	NaN	NaN	NaN	NaN						
1984	11	23	NaN	NaN	11.4	NaN	11.7	NaN						
1984	11	24	NaN	NaN	NaN	NaN	NaN	NaN						
1984	11	25	NaN	NaN	NaN	NaN	NaN	NaN						
1984	11	26	NaN	NaN	9.0	NaN	10.0	NaN						
1984	11	27	NaN	NaN	10.7	NaN	10.7	NaN						
1984	11	28	NaN	NaN	10.9	NaN	11.0	NaN						
1984	11	29	NaN	NaN	10.7	NaN	11.0	NaN						
1984	11	30	NaN	NaN	11.0	NaN	11.5	NaN						
1984	12	1	NaN	NaN	11.0	NaN	11.0	NaN						
1984	12	2	NaN	NaN	10.0	NaN	10.2	NaN						
1984	12	3	NaN	NaN	10.0	NaN	11.0	NaN						
1984	12	4	NaN	NaN	10.7	NaN	11.0	NaN						
1984	12	5	NaN	NaN	12.0	NaN	11.7	NaN						
1984	12	6	NaN	NaN	11.5	NaN	11.7	NaN						
1984	12	7	NaN	NaN	11.7	NaN	12.0	NaN						
1984	12	8	NaN	NaN	11.0	NaN	11.1	NaN						
1984	12	9	NaN	NaN	12.0	NaN	11.5	NaN						
1984	12	10	NaN	NaN	NaN	NaN	NaN	NaN						
1984	12	11	NaN	NaN	NaN	NaN	NaN	NaN						
1984	12	12	NaN	NaN	NaN	NaN	NaN	NaN						
1984	12	13	NaN	NaN	NaN	NaN	NaN	NaN						
1984	12	14	NaN	NaN	NaN	NaN	NaN	NaN						
1984	12	15	NaN	NaN	NaN	NaN	NaN	NaN						
1984	12	16	NaN	NaN	NaN	NaN	NaN	NaN						
1984	12	17	NaN	NaN	10.0	NaN	10.7	NaN						
1984	12	18	NaN	NaN	10.2	NaN	10.7	NaN						
1984	12	19	NaN	NaN	10.8	NaN	11.0	NaN						
1984	12	20	NaN	NaN	10.0	NaN	10.5	NaN						
1984	12	21	NaN	NaN	NaN	NaN	NaN	NaN						
1984	12	22	NaN	NaN	NaN	NaN	NaN	NaN						
1984	12	23	NaN	NaN	NaN	NaN	NaN	NaN						
1984	12	24	NaN	NaN	NaN	NaN	NaN	NaN						
1984	12	25	NaN	NaN	NaN	NaN	NaN	NaN						
1984	12	26	NaN	NaN	NaN	NaN	NaN	NaN						
1984	12	27	NaN	NaN	NaN	NaN	NaN	NaN						
1984	12	28	NaN	NaN	NaN	NaN	NaN	NaN						
1984	12	29	NaN	NaN	NaN	NaN	NaN	NaN						
1984	12	30	NaN	NaN	NaN	NaN	NaN	NaN						
1984	12	31	NaN	NaN	NaN	NaN	NaN	NaN						
1985	1	1	NaN	NaN	NaN	NaN	NaN	NaN						
1985	1	2	NaN	NaN	10.0	NaN	10.5	NaN						
1985	1	3	NaN	NaN	NaN	NaN	NaN	NaN						
1985	1	4	NaN	NaN	NaN	NaN	NaN	NaN						
1985	1	5	NaN	NaN	10.2	NaN	10.6	NaN						
1985	1	6	NaN	NaN	NaN	NaN	NaN	NaN						
1985	1	7	NaN	NaN	NaN	NaN	NaN	NaN						
1985	1	8	NaN	NaN	11.0	NaN	10.8	NaN						
1985	1	9	NaN	NaN	10.2	NaN	10.7	NaN						
1985	1	10	NaN	NaN	10.8	NaN	10.8	NaN						
1985	1	11	NaN	NaN	10.0	NaN	10.0	NaN						
1985	1	12	NaN	NaN	10.2	NaN	11.0	NaN						
1985	1	13	NaN	NaN	10.5	NaN	11.0	NaN						
1985	1	14	NaN	NaN	11.0	NaN	11.0	NaN						
1985	1	15	NaN	NaN	10.7	NaN	11.7	NaN						
1985	1	16	NaN	NaN	11.5	NaN	12.2	NaN						
1985	1	17	NaN	NaN	11.0	NaN	11.2	NaN						
1985	1	18	NaN	NaN	11.0	NaN	10.5	NaN						
1985	1	19	NaN	NaN	11.0	NaN	11.0	NaN						
1985	1	20	NaN	NaN	11.0	NaN	11.5	NaN						
1985	1	21	NaN	NaN	11.0	NaN	11.5	NaN						
1985	1	22	NaN	NaN	11.0	NaN	11.0	NaN						
1985	1	23	NaN	NaN	11.1	NaN	11.6	NaN						
1985	1	24	NaN	NaN	10.8	NaN	10.7	NaN						
1985	1	25	NaN	NaN	10.0	NaN	10.2	NaN						
1985	1	26	NaN	NaN	11.0	NaN	12.0	NaN						
1985	1	27	NaN	NaN	10.0	NaN	10.2	NaN						
1985	1	28	NaN	NaN	10.8	NaN	10.7	NaN						
1985	1	29	NaN	NaN	10.2	NaN	11.2	NaN						
1985	1	30	NaN	NaN	10.2	NaN	10.8	NaN						
1985	1	31	NaN	NaN	10.5	NaN	11.0	NaN						
1985	2	1	NaN	NaN	NaN	NaN	NaN	NaN						
1985	2	2	NaN	NaN	10.3	NaN	12.7	NaN						
1985	2	3	NaN	NaN	10.0	NaN	11.2	NaN						
1985	2	4	NaN	NaN	9.8	NaN	10.8	NaN						
1985	2	5	NaN	NaN	10.0	NaN	10.5	NaN						
1985	2	6	NaN	NaN	9.8	NaN	10.5	NaN						
1985	2	7	NaN	NaN	NaN	NaN	NaN	NaN						
1985	2	8	NaN	NaN	NaN	NaN	NaN	NaN						
1985	2	9	NaN	NaN	10.5	NaN	11.0	NaN						
1985	2	10	NaN	NaN	9.5	NaN	10.5	NaN						
1985	2	11	NaN	NaN	9.7	NaN	10.5	NaN						
1985	2	12	NaN	NaN	10.0	NaN	11.0	NaN						
1985	2	13	NaN	NaN	NaN	NaN	NaN	NaN						
1985	2	14	NaN	NaN	10.2	NaN	11.0	NaN						
1985	2	15	NaN	NaN	10.0	NaN	11.0	NaN						
1985	2	16	NaN	NaN	10.2	NaN	10.8	NaN						
1985	2	17	NaN	NaN	10.5	NaN	10.6	NaN						
1985	2	18	NaN	NaN	12.0	NaN	11.2	NaN						
1985	2	19	NaN	NaN	10.0	NaN	10.5	NaN						
1985	2	20	NaN	NaN	10.0	NaN	10.2	NaN						
1985	2	21	NaN	NaN	10.0	NaN	10.2	NaN						
1985	2	22	NaN	NaN	10.0	NaN	11.0	NaN						
1985	2	23	NaN	NaN	10.8	NaN	10.6	NaN						
1985	2	24	NaN	NaN	9.2	NaN	10.2	NaN						
1985	2	25	NaN	NaN	9.0	NaN	10.8	NaN						
1985	2	26	NaN	NaN	NaN	NaN	NaN	NaN						
1985	2	27	NaN	NaN	9.0	NaN	10.8	NaN						
1985	2	28	NaN	NaN	10.5	NaN	9.8	NaN						
1985	3	1	NaN	NaN	9.0	NaN	8.0	NaN						
1985	3	2	NaN	NaN	9.0	NaN	9.0	NaN						
1985	3	3	NaN	NaN	NaN	NaN	NaN	NaN						
1985	3	4	NaN	NaN	8.8	NaN	9.2	NaN						
1985	3	5	NaN	NaN	8.5	NaN	8.2	NaN						
1985	3	6	NaN	NaN	8.0	NaN	8.2	NaN						
1985	3	7	NaN	NaN	8.5	NaN	9.0	NaN						
1985	3	8	NaN	NaN	10.0	NaN	10.0	NaN						
1985	3	9	NaN	NaN	10.2	NaN	10.0	NaN						
1985	3	10	NaN	NaN	9.0	NaN	9.7	NaN						
1985	3	11	NaN	NaN	9.0	NaN	9.0	NaN						
1985	3	12	NaN	NaN	8.9	NaN	9.7	NaN						
1985	3	13	NaN	NaN	9.2	NaN	12.0	NaN						
1985	3	14	NaN	NaN	9.2	NaN	10.0	NaN						
1985	3	15	NaN	NaN	NaN	NaN	NaN	NaN						
1985	3	16	NaN	NaN	9.2	NaN	9.0	NaN						
1985	3	17	NaN	NaN	9.7	NaN	10.0	NaN						
1985	3	18	NaN	NaN	NaN	NaN	NaN	NaN						
1985	3	19	NaN	NaN	10.0	NaN	11.0	NaN						
1985	3	20	NaN	NaN	10.0	NaN	10.0	NaN						
1985	3	21	NaN	NaN	NaN	NaN	NaN	NaN						
1985	3	22	NaN	NaN	NaN	NaN	NaN	NaN						
1985	3	23	NaN	NaN	NaN	NaN	NaN	NaN						
1985	3	24	NaN	NaN	NaN	NaN	NaN	NaN						
1985	3	25	NaN	NaN	10.0	NaN	11.5	NaN						
1985	3	26	NaN	NaN	9.0	NaN	9.0	NaN						
1985	3	27	NaN	NaN	9.0	NaN	9.0	NaN						
1985	3	28	NaN	NaN	NaN	NaN	10.0	NaN						
1985	3	29	NaN	NaN	10.0	NaN	9.0	NaN						
1985	3	30	NaN	NaN	NaN	NaN	NaN	NaN						
1985	3	31	NaN	NaN	NaN	NaN	NaN	NaN						
1985	4	1	NaN	NaN	10.0	NaN	11.5	NaN						
1985	4	2	NaN	NaN	NaN	NaN	NaN	NaN						
1985	4	3	NaN	NaN	12.0	NaN	11.0	NaN						
1985	4	4	NaN	NaN	NaN	NaN	NaN	NaN						
1985	4	5	NaN	NaN	14.0	NaN	11.0	NaN						
1985	4	6	NaN	NaN	10.0	NaN	9.5	NaN						
1985	4	7	NaN	NaN	11.0	NaN	12.0	NaN						
1985	4	8	NaN	NaN	10.2	NaN	12.0	NaN						
1985	4	9	NaN	NaN	NaN	NaN	NaN	NaN						
1985	4	10	NaN	NaN	10.8	NaN	11.2	NaN						
1985	4	11	NaN	NaN	NaN	NaN	NaN	NaN						
1985	4	12	NaN	NaN	12.8	NaN	14.0	NaN						
1985	4	13	NaN	NaN	13.0	NaN	15.0	NaN						
1985	4	14	NaN	NaN	11.2	NaN	10.7	NaN						
1985	4	15	NaN	NaN	11.8	NaN	12.5	NaN						
1985	4	16	NaN	NaN	NaN	NaN	NaN	NaN						
1985	4	17	NaN	NaN	10.0	NaN	11.0	NaN						
1985	4	18	NaN	NaN	NaN	NaN	NaN	NaN						
1985	4	19	NaN	NaN	9.0	NaN	10.0	NaN						
1985	4	20	NaN	NaN	10.0	NaN	11.5	NaN						
1985	4	21	NaN	NaN	9.5	NaN	10.0	NaN						
1985	4	22	NaN	NaN	10.4	NaN	12.0	NaN						
1985	4	23	NaN	NaN	NaN	NaN	NaN	NaN						
1985	4	24	NaN	NaN	9.8	NaN	10.8	NaN						
1985	4	25	NaN	NaN	NaN	NaN	NaN	NaN						
1985	4	26	NaN	NaN	9.8	NaN	10.0	NaN						
1985	4	27	NaN	NaN	9.5	NaN	10.0	NaN						
1985	4	28	NaN	NaN	9.0	NaN	10.4	NaN						
1985	4	29	NaN	NaN	NaN	NaN	NaN	NaN						
1985	4	30	NaN	NaN	NaN	NaN	NaN	NaN						
1985	5	1	NaN	NaN	9.5	NaN	9.5	NaN						
1985	5	2	NaN	NaN	NaN	NaN	NaN	NaN						
1985	5	3	NaN	NaN	12.5	NaN	12.0	NaN						
1985	5	4	NaN	NaN	11.0	NaN	11.0	NaN						
1985	5	5	NaN	NaN	9.7	NaN	10.0	NaN						
1985	5	6	NaN	NaN	9.0	NaN	10.0	NaN						
1985	5	7	NaN	NaN	NaN	NaN	NaN	NaN						
1985	5	8	NaN	NaN	9.5	NaN	10.2	NaN						
1985	5	9	NaN	NaN	NaN	NaN	NaN	NaN						
1985	5	10	NaN	NaN	NaN	NaN	NaN	NaN						
1985	5	11	NaN	NaN	NaN	NaN	NaN	NaN						
1985	5	12	NaN	NaN	NaN	NaN	NaN	NaN						
1985	5	13	NaN	NaN	NaN	NaN	NaN	NaN						
1985	5	14	NaN	NaN	NaN	NaN	NaN	NaN						
1985	5	15	NaN	NaN	NaN	NaN	NaN	NaN						
1985	5	16	NaN	NaN	NaN	NaN	NaN	NaN						
1985	5	17	NaN	NaN	10.0	NaN	10.0	NaN						
1985	5	18	NaN	NaN	10.0	NaN	10.7	NaN						
1985	5	19	NaN	NaN	10.0	NaN	11.2	NaN						
1985	5	20	NaN	NaN	11.0	NaN	12.0	NaN						
1985	5	21	NaN	NaN	NaN	NaN	NaN	NaN						
1985	5	22	NaN	NaN	11.2	NaN	11.7	NaN						
1985	5	23	NaN	NaN	NaN	NaN	NaN	NaN						
1985	5	24	NaN	NaN	13.0	NaN	13.0	NaN						
1985	5	25	NaN	NaN	11.5	NaN	12.0	NaN						
1985	5	26	NaN	NaN	10.5	NaN	11.0	NaN						
1985	5	27	NaN	NaN	10.6	NaN	10.8	NaN						
1985	5	28	NaN	NaN	NaN	NaN	NaN	NaN						
1985	5	29	NaN	NaN	12.7	NaN	12.0	NaN						
1985	5	30	NaN	NaN	NaN	NaN	NaN	NaN						
1985	5	31	NaN	NaN	14.0	NaN	12.5	NaN						
1985	6	1	NaN	NaN	13.2	NaN	12.2	NaN						
1985	6	2	NaN	NaN	14.0	NaN	12.5	NaN						
1985	6	3	NaN	NaN	NaN	NaN	NaN	NaN						
1985	6	4	NaN	NaN	NaN	NaN	NaN	NaN						
1985	6	5	NaN	NaN	13.0	NaN	12.7	NaN						
1985	6	6	NaN	NaN	NaN	NaN	NaN	NaN						
1985	6	7	NaN	NaN	NaN	NaN	NaN	NaN						
1985	6	8	NaN	NaN	NaN	NaN	NaN	NaN						
1985	6	9	NaN	NaN	13.8	NaN	15.0	NaN						
1985	6	10	NaN	NaN	NaN	NaN	NaN	NaN						
1985	6	11	NaN	NaN	NaN	NaN	NaN	NaN						
1985	6	12	NaN	NaN	NaN	NaN	NaN	NaN						
1985	6	13	NaN	NaN	12.2	NaN	11.8	NaN						
1985	6	14	NaN	NaN	NaN	NaN	NaN	NaN						
1985	6	15	NaN	NaN	NaN	NaN	NaN	NaN						
1985	6	16	NaN	NaN	NaN	NaN	NaN	NaN						
1985	6	17	NaN	NaN	NaN	NaN	NaN	NaN						
1985	6	18	NaN	NaN	NaN	NaN	NaN	NaN						
1985	6	19	NaN	NaN	NaN	NaN	NaN	NaN						
1985	6	20	NaN	NaN	NaN	NaN	NaN	NaN						
1985	6	21	NaN	NaN	NaN	NaN	NaN	NaN						
1985	6	22	NaN	NaN	NaN	NaN	NaN	NaN						
1985	6	23	NaN	NaN	NaN	NaN	NaN	NaN						
1985	6	24	NaN	NaN	NaN	NaN	NaN	NaN						
1985	6	25	NaN	NaN	NaN	NaN	NaN	NaN						
1985	6	26	NaN	NaN	NaN	NaN	NaN	NaN						
1985	6	27	NaN	NaN	NaN	NaN	NaN	NaN						
1985	6	28	NaN	NaN	NaN	NaN	NaN	NaN						
1985	6	29	NaN	NaN	NaN	NaN	NaN	NaN						
1985	6	30	NaN	NaN	NaN	NaN	NaN	NaN						
1985	7	1	NaN	NaN	NaN	NaN	NaN	NaN						
1985	7	2	NaN	NaN	13.0	NaN	14.0	NaN						
1985	7	3	NaN	NaN	13.0	NaN	14.0	NaN						
1985	7	4	NaN	NaN	NaN	NaN	NaN	NaN						
1985	7	5	NaN	NaN	12.0	NaN	14.0	NaN						
1985	7	6	NaN	NaN	NaN	NaN	NaN	NaN						
1985	7	7	NaN	NaN	NaN	NaN	NaN	NaN						
1985	7	8	NaN	NaN	NaN	NaN	NaN	NaN						
1985	7	9	NaN	NaN	15.0	NaN	16.0	NaN						
1985	7	10	NaN	NaN	13.0	NaN	15.0	NaN						
1985	7	11	NaN	NaN	13.0	NaN	12.0	NaN						
1985	7	12	NaN	NaN	12.0	NaN	13.0	NaN						
1985	7	13	NaN	NaN	NaN	NaN	NaN	NaN						
